                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                0.81014,                0.42857,                0.93094,                0.93231,                0.94134,                0.95163,                0.58922,                 1.3969,                0.49878,                 1.2856,              0.0050995,              0.0050995,              0.0050995
                    101,                0.80558,                0.42707,                0.92851,                0.92409,                0.94471,                0.94912,                 0.5876,                 1.3949,                0.49917,                 1.2851,                0.00505,                0.00505,                0.00505
                    102,                0.79962,                0.42519,                0.92541,                0.92977,                0.94028,                0.95254,                0.59023,                 1.3919,                0.49979,                 1.2837,              0.0050005,              0.0050005,              0.0050005
                    103,                0.80471,                0.42452,                 0.9262,                0.93139,                0.94636,                0.95337,                0.59032,                 1.3888,                0.49965,                 1.2814,               0.004951,               0.004951,               0.004951
                    104,                0.80594,                0.42535,                0.92462,                0.93595,                0.94218,                0.95315,                0.59087,                 1.3892,                0.49955,                 1.2815,              0.0049015,              0.0049015,              0.0049015
                    105,                0.79308,                0.42127,                0.92316,                0.93516,                0.94134,                 0.9523,                0.59144,                 1.3878,                0.49974,                 1.2803,               0.004852,               0.004852,               0.004852
                    106,                0.79015,                 0.4183,                0.92151,                0.93426,                0.93959,                0.95207,                0.59058,                 1.3901,                0.50067,                 1.2803,              0.0048025,              0.0048025,              0.0048025
                    107,                 0.7836,                0.41358,                 0.9194,                0.93954,                0.93726,                0.95012,                0.59164,                 1.3911,                 0.4987,                 1.2817,               0.004753,               0.004753,               0.004753
                    108,                0.78919,                0.41533,                0.92127,                0.93916,                0.93692,                0.95229,                0.59483,                 1.3887,                0.49717,                  1.282,              0.0047035,              0.0047035,              0.0047035
                    109,                0.78643,                  0.416,                0.91987,                0.93972,                0.94137,                0.95333,                0.59359,                 1.3868,                0.49774,                   1.28,               0.004654,               0.004654,               0.004654
                    110,                0.77599,                0.41519,                0.91907,                0.94151,                0.94135,                0.95384,                 0.5925,                 1.3872,                0.49728,                 1.2828,              0.0046045,              0.0046045,              0.0046045
                    111,                0.77053,                 0.4127,                0.91666,                0.94156,                0.93973,                0.95402,                0.59217,                 1.3844,                0.49794,                 1.2808,               0.004555,               0.004555,               0.004555
                    112,                0.77988,                0.41207,                0.91773,                0.94287,                0.93782,                0.95161,                0.59083,                  1.383,                0.49644,                 1.2796,              0.0045055,              0.0045055,              0.0045055
                    113,                0.77252,                0.41257,                0.91539,                0.93746,                0.94219,                 0.9504,                0.59222,                 1.3818,                0.49547,                 1.2807,               0.004456,               0.004456,               0.004456
                    114,                0.76421,                0.40546,                0.91313,                 0.9389,                0.94149,                0.95009,                0.59474,                 1.3797,                0.49439,                 1.2795,              0.0044065,              0.0044065,              0.0044065
                    115,                0.76672,                0.40775,                0.91444,                0.94023,                0.94587,                 0.9527,                0.59598,                  1.377,                0.49393,                  1.277,               0.004357,               0.004357,               0.004357
                    116,                 0.7617,                0.40453,                0.91249,                0.94103,                0.94587,                0.95189,                 0.5948,                 1.3753,                0.49211,                 1.2761,              0.0043075,              0.0043075,              0.0043075
                    117,                0.75496,                0.40062,                0.91143,                 0.9402,                0.94503,                0.95154,                0.59431,                 1.3747,                0.49232,                 1.2765,               0.004258,               0.004258,               0.004258
                    118,                0.75315,                0.40053,                 0.9112,                0.94007,                0.94503,                0.95005,                0.59578,                 1.3745,                 0.4926,                 1.2768,              0.0042085,              0.0042085,              0.0042085
                    119,                0.75312,                0.40438,                0.91208,                0.93559,                0.94134,                 0.9466,                0.59598,                 1.3743,                0.49315,                 1.2776,               0.004159,               0.004159,               0.004159
                    120,                0.74559,                0.39801,                0.90647,                0.93739,                0.94303,                0.94778,                0.59703,                 1.3738,                0.49345,                 1.2785,              0.0041095,              0.0041095,              0.0041095
                    121,                0.74673,                0.39937,                0.90658,                0.93721,                 0.9406,                0.94678,                0.59615,                 1.3723,                0.49389,                 1.2779,                0.00406,                0.00406,                0.00406
                    122,                0.75409,                0.39943,                  0.912,                0.93645,                0.94063,                0.94617,                 0.5965,                 1.3712,                0.49497,                 1.2776,              0.0040105,              0.0040105,              0.0040105
                    123,                 0.7401,                 0.3937,                0.90523,                0.93719,                0.94134,                0.94627,                0.59694,                 1.3692,                0.49397,                 1.2766,               0.003961,               0.003961,               0.003961
                    124,                 0.7393,                0.39502,                0.90881,                0.93717,                0.94134,                0.94605,                0.59583,                 1.3682,                0.49334,                 1.2763,              0.0039115,              0.0039115,              0.0039115
                    125,                0.73978,                 0.3932,                0.90682,                0.93632,                 0.9405,                0.94578,                0.59507,                  1.367,                0.49145,                 1.2761,               0.003862,               0.003862,               0.003862
                    126,                0.72984,                0.39122,                0.90551,                0.93711,                0.94067,                0.94602,                0.59534,                 1.3666,                0.49213,                 1.2761,              0.0038125,              0.0038125,              0.0038125
                    127,                0.72988,                0.38949,                0.90343,                0.93309,                0.94338,                0.94601,                  0.595,                 1.3659,                0.49249,                  1.276,               0.003763,               0.003763,               0.003763
                    128,                 0.7306,                0.39208,                 0.9037,                0.93541,                0.94141,                0.94621,                 0.5954,                 1.3646,                0.49265,                 1.2757,              0.0037135,              0.0037135,              0.0037135
                    129,                0.72324,                0.38669,                0.90232,                 0.9353,                0.94148,                0.94453,                0.59644,                 1.3646,                0.49201,                 1.2759,               0.003664,               0.003664,               0.003664
                    130,                0.72084,                0.38479,                0.90206,                0.93477,                0.94063,                  0.944,                0.59743,                 1.3626,                0.49146,                 1.2749,              0.0036145,              0.0036145,              0.0036145
                    131,                0.71866,                 0.3837,                0.89865,                0.93637,                0.93859,                 0.9447,                0.59697,                 1.3623,                0.49123,                 1.2752,               0.003565,               0.003565,               0.003565
                    132,                0.71799,                0.38624,                0.89984,                0.93802,                0.93517,                 0.9446,                0.59693,                 1.3618,                0.49053,                 1.2756,              0.0035155,              0.0035155,              0.0035155
                    133,                0.71217,                0.38133,                0.89791,                0.93801,                0.93522,                 0.9447,                0.59682,                 1.3603,                0.49103,                 1.2747,               0.003466,               0.003466,               0.003466
                    134,                0.70955,                  0.378,                0.89679,                  0.938,                0.93519,                 0.9449,                0.59705,                 1.3595,                0.49153,                 1.2745,              0.0034165,              0.0034165,              0.0034165
                    135,                0.70712,                0.37967,                0.89883,                0.93884,                0.93601,                 0.9473,                0.59692,                 1.3585,                0.49177,                  1.274,               0.003367,               0.003367,               0.003367
                    136,                0.70929,                0.38072,                0.89684,                0.94177,                 0.9343,                 0.9472,                0.59762,                  1.357,                0.49033,                 1.2737,              0.0033175,              0.0033175,              0.0033175
                    137,                0.70845,                0.37837,                0.89667,                0.94176,                 0.9343,                0.94867,                0.59898,                 1.3556,                0.48977,                 1.2729,               0.003268,               0.003268,               0.003268
                    138,                0.70022,                0.37407,                0.89547,                0.94266,                 0.9343,                0.94887,                0.59804,                 1.3542,                0.48958,                 1.2727,              0.0032185,              0.0032185,              0.0032185
